Title,Address,Latitude,Longitude,Phone,Website,Email,volunteer-email,volunteer-website,volunteer-phone,Notes,Category,PlaceID,Source,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Image
Food Bank Association Of New York State,"965 Albany Shaker Rd, Latham, NY 12110, USA",42.7639103,-73.812866,(518) 407-7603,http://www.foodbankassocnys.org/,,,,,"The mission of food banking is to obtain and deliver food to emergency food programs. The Food Bank Association of New York State aims to end hunger by supporting the food bank network in acquiring food and funds, raising public awareness of the mission of the eight regional food banks in New York State, and forming partnerships to alleviate hunger in the state.
Mission Statement: The Regional Food Bank's mission is to alleviate hunger and prevent food waste. We achieve this by ensuring that all donated products are received by the Food Bank and distributed fairly to our member agencies.
*From the Food Bank Association of New York State website.",Food bank,ChIJIZeKFRQN3okRp5SEk4UClZI,FF,,,,,,,,
Regional Food Bank Of N E Ny Inc,"965 Albany Shaker Rd, Latham, NY 12110, USA",42.7639103,-73.812866,(518) 786-3691,http://www.regionalfoodbank.net/,tammyq@regionalfoodbank.net,,,,"Mission Statement:
Our mission is to create a working environment that provides consistently high-quality service to all our partners with integrity and respect. We will achieve this by:
1. Providing growth opportunities for our employees through staff training and development.
2. Ensuring that all available products for donation reach the Food Bank and are distributed judiciously to our member programs.
3. Practicing responsible stewardship.
4. Actively participating in the community to increase awareness of hunger and poverty and set a standard for excellence in service to others.",Food bank,ChIJIZeKFRQN3okRp5SEk4UClZI,FF,,,,,,,,
Regional Food Bank of Northeastern New York,"965 Albany Shaker Rd, Latham, NY 12110, USA",42.7639103,-73.812866,(518) 786-3691,http://www.facebook.com/RegionalFoodBankofNENY,info@regionalfoodbank.net,,,,The Regional Food Bank of Northeastern New York distributes food in 23 counties.,Food bank,ChIJIZeKFRQN3okRp5SEk4UClZI,FF,,,,,,,,
Nash Road Church - Little Free Pantry,"958 Nash Rd, North Tonawanda, NY 14120, USA",43.0490517,-78.8658427,(716) 692-8683,,gfro8794@gmail.com,,,,"Phone: (716) 692-8683
Email: gfro8794@gmail.com
For more information, please call them.",Food bank,ChIJb7NZJUlu04kRsf-zcVdhkmg,FF,,,,,,,,
Villa Fusco Food Pantry,"955 Balltown Rd, Niskayuna, NY 12309, USA",42.7954428,-73.8940487,,,,,,,"Phone: 377-1613
Hours of operation: The Pantry is open on the 3rd Saturday of every month from 12:00 pm - 2:00 pm. Please call on that Thursday or Friday prior to the 3rd Saturday for an appointment.",Food bank,ChIJrV2CxX5y3okR0X5kswpg7yo,FF,,,,,,,,
Limestone Food Pantry,"950 N Main St, Limestone, NY 14753, USA",42.0433726,-78.63189,(716) 925-7116,,,,,,"Phone: (716) 925-7116
Hours of operation: Between 8:00 AM and 12:00 PM on the 3rd Saturday of the month
For more information, please call them.",Food bank,ChIJRb_USUB-0okRmbi0TbAvY-0,FF,,,,,,,,
Voices of Hagar Food Pantry,"95-18 Northern Blvd, Jackson Heights, NY 11372, USA",40.7565793,-73.8726271,(718) 205-0506,,sharvey.stmark@gmail.com,,,,10:00 a.m. Please call for further information.,Food bank,EjM5NS0xOCBOb3J0aGVybiBCbHZkLCBKYWNrc29uIEhlaWdodHMsIE5ZIDExMzcyLCBVU0EiMBIuChQKEgmX6UzKvV_CiRFnFaPMlbchxBASKhQKEgnDiN-8ZIrCiRGHsZROZC2kRw,FF,,,,,,,,
Neighbor to Neighbor Food Pantry,"9495 Prospect Rd, Forestville, NY 14062, USA",42.4131938,-79.126781,(716) 965-2353,https://www.facebook.com/ForestvilleWesleyan/,kborrello@sunsetbayusa.com,,,,"Food Pantry located at Forestville Wesleyan Church serves the Forestville and surrounding towns. The pantry is open every Tuesday from 9:00 a.m. to 4:30 p.m. To receive assistance, residents must provide proof of residence, proof of income, and a photo ID. For more information, please call.
Additionally, the Food Express Program provides a monthly service to residents of Chautauqua County. Food Express is distributed on the Tuesday after the fourth Monday of every month from 12:30 p.m. to 4:30 p.m. or until supplies are distributed.",Food bank,ChIJGw5QnrzG0okRzF_HqcI6ETQ,FF,,,,,,,,
Catholic Charities Food Bank Of The So Tier,"945 County Rd 64, Elmira, NY 14903, USA",42.1551273,-76.8725465,(607) 796-6061,http://www.foodbankst.org/,drumsey@secondharvest.org,,,,"Mission Statement: No one should go hungry. The Food Bank of the Southern Tier is committed to being the leading hunger-relief organization in the Southern Tier of New York. We will distribute quality food through our network of hunger-relief agencies, develop innovative programs, and expand local community, statewide, and national partnerships. Our mission is to work together to build and sustain hunger-free communities throughout the Southern Tier.
Source: Catholic Charities Food Bank of the Southern Tier website.",Food bank,ChIJCfL0jgdB0IkRZCVwJ89k--s,FF,,,,,,,,
Refuge Temple Church,"943 Jefferson Ave, Buffalo, NY 14204, USA",42.9005126,-78.8538474,(716) 886-2199,http://www.grtchurch.org/,,,,,"For more information, please call them.",Food bank,ChIJp3aZdmIS04kRNthSw6ibklQ,FF,,,,,,,,
Mohawk Valley Church - Food Bank,"9427 Maynard Dr, Marcy, NY 13403, USA",43.1379184,-75.2636769,(315) 732-8867,https://www.mohawkvalley.church/,info@mohawkvalley.church,,,,"For more information, please call them.",Food bank,ChIJR719aqdA2YkRdTFWG8cAk0E,FF,,,,,,,,
"Heart, Love and Soul","939 Ontario Ave, Niagara Falls, NY 14305, USA",43.1083464,-79.052765,(716) 282-5687,https://www.facebook.com/heartloveandsoul/,heartloveandsoul@gmail.com,,,,"Food Pantry Opening Hours:
Monday to Friday: 10:00 a.m. - 1:00 p.m.
For further information, please call.
Hours of Operation:
Monday: 10:00 AM - 1:00 PM
Tuesday: 10:00 AM - 1:00 PM
Wednesday: 10:00 AM - 1:00 PM
Thursday: 10:00 AM - 1:00 PM
Friday: 10:00 AM - 1:00 PM
Saturday: Closed
Sunday: Closed",Food bank,ChIJ7eJf8M1C04kRJ2q-f1AbP1c,FF,,,,,,,,
Missionary Church Of Christ,"937 Teller Ave, Bronx, NY 10451, USA",40.8260066,-73.9158099,(718) 588-4545,http://www.cccny.net/,,,,,"Hours of Operation:
9:00 AM - 11:00 AM on the 2nd and 4th Wednesday of the month. For further details, please contact them.",Food bank,ChIJ9YzA5jT0wokRuyQxJacu3bQ,FF,,,,,,,,
St Mary Of Sorrows,"930 Genesee St, Buffalo, NY 14211, USA",42.9018063,-78.8430902,(716) 597-0509,,,,,,"Phone: (716) 597-0509
For more information, please call them.",Food bank,ChIJUxkw2oAS04kRGduhF1AixR0,FF,,,,,,,,
Valley Community Association Pantry,"93 Leddy St, Buffalo, NY 14210, USA",42.8678371,-78.8512968,(716) 823-4707,http://www.valleycommunityassociation.xyz/,loverdorf@thevalleycenter.com,,,,,Food bank,ChIJG1CQaxsS04kRYjPbJycAFBk,FF,,,,,,,,
South Buffalo Food Pantry,"920 Tifft St, Buffalo, NY 14220, USA",42.8473362,-78.8253899,(716) 824-5482,,,,,,"Phone: (716) 824-5482
Provide: Food Pantry
Serve: Must live in a part of 14220 or 14210
Documentation required for the pantry: Photo ID, proof of residence, and proof of income
Pantry Hours: Tuesday and Friday, 10 a.m. - 2:30 p.m.
Closed for lunch between 12:00 and 12:30
Sign-in by 1:30 p.m.
After office hours, by appointment
Please call for more information.",Food bank,ChIJc9rw9RAO04kRCfbJKfXJE_s,FF,,,,,,,,
Food Bank of Western New York,"91 Holt St, Buffalo, NY 14206, USA",42.8809637,-78.8310129,(716) 852-1305,http://www.facebook.com/FoodBankWNY,info@foodbankwny.org,,,,"The Food Bank of Western New York collects, stores, and distributes food to approximately 350 member agencies in Cattaraugus, Chautauqua, Erie, and Niagara Counties.",Food bank,ChIJP1GU7YwN04kRPiFmSLC1N34,FF,,,,,,,,
Christian Pentecostal Church,"900 Richmond Rd, Staten Island, NY 10304, USA",40.6048581,-74.0922882,(718) 273-5850,http://www.cpc900.org/,,,,,"Food Pantry Opening Hours:
- Every Tuesday from 7:00 p.m. to 8:00 p.m.
- Every Wednesday from 6:00 p.m. to 8:00 p.m.
Location:
- The food pantry is located in the 910 building (Fellowship Hall).
Requirements:
- A photo ID is required.
For further information, please call.",Food bank,ChIJu8bqp_FOwokRwbaKLdsqS9c,FF,,,,,,,,
St Luke Food Pantry,"900 Maryvale Dr, Cheektowaga, NY 14225, USA",42.9332068,-78.7547496,(716) 633-6752,http://stluke-buffalo.org/,stluke.buffalo@gmail.com,,,,"Food Pantry Services in 14225 Area
Hours of Operation: Tuesday from 10:00 am to 2:00 pm
Non-perishable items are collected every Sunday of the month in the Scholarship area. For more information, please call the food pantry.",Food bank,ChIJB6MZwFNz04kRfp75iczQxGg,FF,,,,,,,,
Buffalo Lutheran Food Pantry,"900 Genesee St, Buffalo, NY 14211, USA",42.9005655,-78.8441286,(716) 892-7682,,jackiestokes67@gmail.com,,,,Monday - Thursday: 10:00 am - 2:00 pm. Please call for further information.,Food bank,ChIJpdqxTYcS04kRTQl9OWDzf4Y,FF,,,,,,,,
Harvest for the World,"90 Pleasant Ave, Roosevelt, NY 11575, USA",40.6739035,-73.5850639,516-623-4498,http://www.harvestfortheworld.com/,,,,,"Services:
- Offers a food pantry
- Pantry Opening Hours: Monday to Saturday, 11:00 a.m. - 1:00 p.m.
Since 1998, the Harvest For The World soup kitchen has been a grassroots effort to offer alternatives and make a difference in the Roosevelt community by providing food to the homeless. Please call for further information.",Food bank,ChIJhROWb2t8wokRm-WLtOFMd6Y,FF,,,,,,,,
New York City Rescue Mission,"90 Lafayette St, New York, NY 10013, USA",40.7175359,-74.0016211,(212) 226-6214,http://www.nycrescue.org/,besocial@nycrescue.org,,,,"Soup Kitchen:
- Hours of operation: 7 days a week from 5:00 pm to 6:00 pm
Food Pantry:
- Hours of operation: Monday to Friday from 2:00 pm to 3:30 pm
- Open to all
New York City Rescue Mission was the first homeless shelter in the city to offer daily soup kitchen meals and Christian gospel services to alcoholics and the undeserving poor. Since 1872, this non-profit ministry has been able to alleviate homelessness, hunger, and addiction through donations and volunteering. They provide emergency services such as food, clothing, shelter, counseling, and spiritual hope to those in need.
Manhattan is a place of great wealth and poverty, from Park Avenue to the park bench. For more information, please contact them.",Food bank,ChIJj2M5uyBawokRFBIEI6bQCI8,FF,,,,,,,,
Calvary Food Pantry Cny Inc.,"90 Franklin St, Auburn, NY 13021, USA",42.9372696,-76.554737,(315) 252-7772,http://www.calvaryfoodpantry.com/Home.html,calfpcny@localnet.com,,,,"Their programs are formatted to assist individuals who require food assistance. They do not mandate any specific religious affiliation or financial contribution to their organization. However, they do request that you reciprocate one good deed with another and perform an act of kindness. This approach ensures that the cycle of compassion and goodwill persists indefinitely. They are continuously seeking volunteers. Volunteering with them will provide you with happiness and fortitude.",Food bank,ChIJsTJGngys0IkRfqge5Mjo6qI,FF,,,,,,,,
Calvary Food Pantry,"90 Franklin St, Auburn, NY 13021, USA",42.9372696,-76.554737,(315) 252-7772,http://www.calvaryfoodpantry.com/,calfpcny@localnet.com,,,,"Services: This organization provides emergency assistance to residents of Cayuga County.
Hours of Operation:
- Mondays and Wednesdays: 10:00 am - 5:00 pm
- Fridays: 10:00 am - 2:00 pm
Please call to schedule an appointment.",Food bank,ChIJsTJGngys0IkRfqge5Mjo6qI,FF,,,,,,,,
Breakthrough Pantry Triumphant Full Gospel Assembly,"892 Rutland Rd, Brooklyn, NY 11203, USA",40.660559,-73.9298273,(718) 774-4696,http://tfga.org/,contactus@tfga.org,,,,"Services: Food Pantry
Pantry Opening Hours: Every Thursday from 4:00 p.m. to 6:00 p.m.
For further information, please call.",Food bank,ChIJ839Cg4RcwokRh6Jlx_z6Qtw,FF,,,,,,,,
Gospel Assembly Queens Food Pantry,"8917 114th St, Queens, NY 11418, USA",40.6958212,-73.8333371,(718) 441-1182,,,,,,"Phone: (718) 441-1182
Gospel Assembly Queens provides a food pantry to more than 5,000 people each month.
Hours:
Tuesday, Thursday, and Saturday
12:00pm - 2:00pm
There's an ongoing registration for volunteers.
For more information, please call them.",Food bank,ChIJv90h4qxgwokRHQPH9oMe1Mk,FF,,,,,,,,
St. Andrew's Food Pantry,"890 Portland Ave, Rochester, NY 14621, USA",43.1821841,-77.586316,(585) 338-1764,https://www.facebook.com/pages/St-Andrews-Food-Cupboard/784637748311983,tceasylee@gmail.com,,,,"St. Andrew's food pantry in Rochester NY provides over 1100 meals each month to more than 300 families. The pantry serves people of all ages, races, and religions, with single mothers and children being the majority of those in need. The pantry is part of a network of food pantry units that serve specific parts of the 14609 and 14621 zip codes in Monroe County.
Hours of Operation:
Sunday: Closed
Monday: Closed
Tuesday: 9:00 am - 11:30 am
Wednesday: 9:00 am - 11:30 am
Thursday: 9:00 am - 11:30 am
Friday: 9:00 am - 11:30 am
Saturday: Closed",Food bank,ChIJK8YCQN211okRhr8-fd7Qlqo,FF,,,,,,,,
Church Of The Incarnation Incarnation Parish Pantry,"89-42 Francis Lewis Blvd, Queens, NY 11427, USA",40.7184942,-73.7578854,(718) 465-8534,http://www.incrcc.org/,,,,,"Food Pantry
Hours of operation: Friday 12:00 pm - 3:00 pm
For more information, please call them.",Food bank,ChIJbeemjXlhwokRRl6vcu9j6D4,FF,,,,,,,,
St. Ann's Corner Of Harm Reduction (SACHR),"886 Westchester Ave, Bronx, NY 10459, USA",40.8203374,-73.899324,(718) 585-5544,http://www.sachr.org/,info@sachr.org,,,,"Hours of Operation:
Monday, Tuesday, Wednesday, and Friday: 8:30 am - 5:00 pm
Thursday: 8:30 am - 6:30 pm
For more information, please call them.",Food bank,ChIJiVR0ba31wokRr8UA4bWdwNU,FF,,,,,,,,
St. Vincent DePaul Food Pantry at St. Leo RC Church,"885 Sweet Home Rd, Buffalo, NY 14226, USA",42.9868488,-78.8070367,(716) 800-8020,https://stleothegreatamherst.com/,office@stleothegreatamherst.com,,,,"Serves: 14226
Hours: Monday to Friday, 9:00am - 1:00pm
Please call for more information.",Food bank,ChIJcc-fzUVy04kRLIfjatl8ZiA,FF,,,,,,,,
Christian Family Worship Center,"885 Seaman Ave, Baldwin, NY 11510, USA",40.6637749,-73.6048091,(516) 442-2645,,,,,,"Phone: (516) 442-2645
Call for hours and information.",Food bank,ChIJyfyca4B8wokR-bdSK_oWMjU,FF,,,,,,,,
Jamaica Sda Church,"88-28 163rd St, Queens, NY 11432, USA",40.7078131,-73.7990566,(718) 297-1113,http://jasda.org/,churchinfo@jasda.org,,,,"Food Pantry Opening Hours:
Wednesday, 10:00 a.m. - 2:00 p.m.
Requirements Needed:
Referral from another pantry or food bank is required.
For Further Information, Please Call.",Food bank,ChIJhziAP95gwokRj8bSxuwVs1s,FF,,,,,,,,
Church Of The Annunciation,"88 Convent Ave, New York, NY 10027, USA",40.8162988,-73.9529904,(212) 234-1919,http://www.theannunciation.net/,office@theannunciation.net,,,,"Hours of Operation:
Tuesday: 10:30 AM - 11:30 PM
Client Residency Requirement: Zip Code 10027
For further details, please contact them via phone.",Food bank,ChIJe2w5yG72wokRBJI0NIBmtd4,FF,,,,,,,,
Honeoye Food Pantry,"8758 Main St, Honeoye, NY 14471, USA",42.7909916,-77.518901,(585) 721-0009,https://www.facebook.com/honeoyeunitedchurchofchrist,honeoyefoodpantry@gmail.com,,,,"Hours: First Saturday of the month from 9:00 a.m. to 10:30 a.m. For more information, please call.",Food bank,ChIJL88CLXgV0YkRh6AwKmxF33E,FF,,,,,,,,
Resurrection And Life Church,"870 E 163rd St, Bronx, NY 10459, USA",40.821508,-73.899319,(718) 617-2399,https://bronxchurch.org/,,,,,"Pantry Opening Hours:
- Tuesday: 6:30 p.m. - 8:00 p.m.
- Saturday: 10:00 a.m. - 2:00 p.m.
- Sunday: 12:00 p.m. - 1:30 p.m.
For further information, please call.",Food bank,ChIJTYjoR631wokRizGvLGshtX0,FF,,,,,,,,
Isaiah's Temple Of Mt. Hope,"862 Glenmore Ave, Brooklyn, NY 11208, USA",40.6756261,-73.8781777,(718) 850-1499,,,,,,"Every Tuesday from 2:00 p.m. to 4:00 p.m. is lunch time. On Thursdays, from 2:00 p.m. to 4:00 p.m., a hot meal is served. The Food Pantry is open on Thursdays from 2:00 p.m. to 4:00 p.m. For more information, please call.",Food bank,ChIJxcbYs7BdwokRs5_ySt4pKqI,FF,,,,,,,,
Buffalo Urban League Food Pantry,"86 Pine St, Buffalo, NY 14204, USA",42.882331,-78.8645009,(716) 854-7625,http://buffalourbanleague.org/Newweb/,,,,,"Food Pantry Services in Buffalo City
Residents of Buffalo City can access our food pantry services. To receive assistance, please bring proof of identification, income, and address. Our hours of operation are Monday to Friday, from 8:00 AM to 4:00 PM.",Food bank,ChIJ_yBAYz8S04kRXja0oKVk-aU,FF,,,,,,,,
St John De La Salle Community Care,"8477 Buffalo Ave, Niagara Falls, NY 14304, USA",43.0760737,-78.964998,(716) 283-2238,https://www.facebook.com/StJohndeLaSalleNF/,stjohndelasalle@juno.com,,,,"Hours of Operation:
Wednesday: 9:00 AM - 3:00 PM
For more information, please call.
Monday: Closed
Tuesday: Closed
Thursday: Closed
Friday: Closed
Saturday: Closed
Sunday: Closed",Food bank,ChIJOVaxZ_Bo04kRe50pc6FLc5c,FF,,,,,,,,
North Shore Assembly of Good - Food Pantry,"84 Orchard St, Oyster Bay, NY 11771, USA",40.8718791,-73.5345098,(516) 922-2547,http://www.northshoreaog.org/,northshoreaog@gmail.com,,,,"Are you feeling the impact of the current economy on your family? Are you currently unemployed? No matter your situation, we are here to offer assistance with food, other services, and a compassionate ear. We won't ask any questions. Our Food Pantry is open every Tuesday from 12:00 pm to 1:00 pm, rain or shine. If you need more information, please don't hesitate to call or email us before Tuesday.",Food bank,ChIJx2dMQD-DwokRAkJbn3aSPZs,FF,,,,,,,,
Cluster 13,"84 Main St, Camden, NY 13316, USA",43.33526,-75.748345,(315) 907-7863,https://www.facebook.com/Cluster13MinistriesInc?fref=ts,Dawnblowers1019@gmail.com,,,,"Cluster 13 collaborates with the Camden Area Food Pantry, which operates within our premises. Our dedicated volunteers, financial supporters, and spiritual sponsors assist with providing essential resources such as food, clothing, and shelter for survival. Our hours of operation are as follows: Tuesday and Thursday from 10:00 am to 12:30 pm. In case of emergencies, please contact Judy Pfister at (315) 245-0551 at any time. We are closed on Mondays, Wednesdays, Fridays, Saturdays, and Sundays.",Food bank,ChIJq17D5sen2YkRJOisNRiq9NM,FF,,,,,,,,
Schenectady Inner City Ministry - SICM Food Pantry,"839 Albany St, Schenectady, NY 12307, USA",42.8061513,-73.9349259,(518) 346-4445,http://www.sicm.us/,info@sicm.us,,,,"The SICM Emergency Food Pantry is available to any Schenectady County resident in need of food. The pantry is open on Monday, Wednesday, Thursday, and Friday from 9:00am to 11:30am. Mass Distribution occurs on the last Thursday of each month from 8:30am to 11:30am. Every family member must present an ID for each visit, which is limited to once per month. In 2015, the pantry served a record-breaking 47,715 individuals, including 17,588 children, and provided a total of 429,435 meals. These numbers highlight the significant need for temporary and emergency food assistance due to economic, governmental, and individual circumstances.
The pantry also offers several wrap-around services, including the Nutrition Education and Outreach Program, which provides pre-screening and assistance with Food Stamp applications. Nutritionists from Cornell Cooperative Extension and other organizations offer cooking and nutrition classes. Additionally, Experience Works, a training program for seniors, offers employment opportunities.
Mass Distribution is a program started by the SICM Food Pantry in partnership with the Regional Food Bank. On the last Thursday of each month, the RFB delivers 12 pallets of hard-to-move items, such as produce, yogurt, cottage cheese, juice, and bread. Each person receives a box and can take enough of each item based on their family size. The items change monthly, and this program does not count against the person's regular pantry visit. The pantry is closed for regular business on Mass Distribution day, and transportation is not provided.
The SICM Emergency Food Pantry welcomes and appreciates donations of items, particularly those not covered by SNAP benefits and other items. Donations can be dropped off at the Food Pantry located at 839 Albany Street between 7:30am and 2:00pm, Monday through Friday. Donors should drive up to the loading dock at the back of the pantry and ring the doorbell next to the loading dock door. For large donations, please arrange a time through pantry staff by calling 346-4445. Thank you!
The pantry is in need of several items, including razors and shaving cream, soap, deodorant, hand lotion, shampoo, body wash, toothpaste, toothbrushes, denture cleaner, sanitary napkins, tampons, liners, adult bladder pads, and adult bladder underwear. For more information, please call.",Food bank,ChIJj9Lgxf9t3okRECZJPXBQdi8,FF,,,,,,,,
Deeper Life Outreach Ministries,"837 Rogers Ave, Brooklyn, NY 11226, USA",40.6501524,-73.9522285,(718) 282-0526,,info@deeperlifeoutreach.org,,,,"Phone: (718) 282-0526
Email: info@deeperlifeoutreach.org
Hours of operation: Saturday 9:00 am - 5:00 pm
For more information, please call them.",Food bank,ChIJ8wGLOEJbwokR9K3irZ0fIro,FF,,,,,,,,
Bethesda House Of Schenectady,"834 State St, Schenectady, NY 12307, USA",42.8061985,-73.9336893,(518) 374-7873,http://www.bethesdahouseschenectady.org/,,,,,"Bethesda House is an interfaith ministry that provides a food pantry and services primarily to Schenectady County. Their mission is to build a just, welcoming, and inclusive community one person at a time by affirming the dignity and meeting the needs of every guest entering this House Of Mercy. In addition to intensive case management and social work, Bethesda House was founded to provide daily and emergency services to the homeless and economically disadvantaged citizens of Schenectady. Guests at Bethesda House have access to opportunities for community service, housing resources, e-mail service, phone/fax, shower, laundry, and personal hygiene. They also have a hospitality center with coffee, books, games, and shelter from the streets. Daily meals are served at 2:30 from Monday to Friday. For more information, please call Bethesda House.",Food bank,ChIJTRJIrv9t3okRKtEH7PQTL4I,FF,,,,,,,,
Zion Church Of The Truth,"8315 Flatlands Ave, Brooklyn, NY 11236, USA",40.6373698,-73.9108179,(718) 241-8167,http://zionchurchofthetruth.com/,,,,,"Hours of Operation:
Saturday: 1:00 PM - 3:00 PM
For more information, please call.",Food bank,ChIJf3mhv8dcwokRF49sNaDoQ_A,FF,,,,,,,,
Salvation Army,"83 S Main St, Jamestown, NY 14701, USA",42.092292,-79.2371412,(716) 664-4108,https://www.facebook.com/TheSalvationArmyJamestown,John.merchant@use.salvationarmy.org,,,,"The Salvation Army provides a food pantry for the Jamestown area. Proof of income, rent receipt, utility bills, and picture ID for every family member are required. Their hours of operation are Monday to Friday from 1:00 PM to 3:30 PM. For more information, please call them.
Mission Statement: The Salvation Army is an international movement and an evangelical part of the universal Christian Church. Its message is based on the Bible, and its ministry is motivated by the love of God. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.
Hours of Operation:
Monday: 1:00 PM - 3:30 PM
Tuesday: 1:00 PM - 3:30 PM
Wednesday: 1:00 PM - 3:30 PM
Thursday: 1:00 PM - 3:30 PM
Friday: 1:00 PM - 3:30 PM
Saturday: Closed
Sunday: Closed
*Information sourced from the Salvation Army website.",Food bank,ChIJY_E4Gfuo0okRDBCJhNm45GQ,FF,,,,,,,,
Adelante of Suffolk County,"83 Carleton Ave, Central Islip, NY 11722, USA",40.7866417,-73.2012891,(631) 234-1049,http://adelantesc.us/,admin@adelantesc.org,,,,"Adelante of Suffolk County provides a food pantry with hours of operation between 9:00 AM and 5:00 PM, Monday to Friday. For more information, please call them.",Food bank,ChIJHTN2YDwx6IkRb9xr71Ts9Mk,FF,,,,,,,,
Little Genesee Seventh Day Baptist Church,"8265 NY-417, Little Genesee, NY 14754, USA",42.0260946,-78.2063568,(585) 928-1403,https://www.facebook.com/LittleGenesee.church/,mark14754@gmail.com,,,,"Hours of Operation:
- Mondays and Thursdays from 2:00 p.m. to 5:00 p.m.
- Closed on Tuesdays, Wednesdays, Fridays, Saturdays, and Sundays
Area Served:
- Residents of the Bolivar Richburg School District
Services:
- Provides nutritious food for three days
- Customers are allowed to visit once every 30 days
- No income requirement
For further information, please call.",Food bank,ChIJeQxo5wMM0okRpQfc7ZqW6iw,FF,,,,,,,,
Tree of Life Cupboard,"825 Forest Ave, Jamestown, NY 14701, USA",42.0793988,-79.2438374,(716) 488-4235,https://www.facebook.com/TOLChurchJTN/,admin@toljamestown.com,,,,"Monday: Closed
Tuesday: Closed
Wednesday: 10:00 AM - 2:00 PM
Thursday: Closed
Friday: 10:00 AM - 2:00 PM
Saturday: Closed
Sunday: Closed",Food bank,ChIJhVBkXlOo0okRpHrj25EoxVI,FF,,,,,,,,
Grace Episcopal Church,"819 Madison St, Syracuse, NY 13210, USA",43.0455825,-76.1349526,(315) 478-0901,http://www.gracesyracuse.org/,gracesyracuse@gmail.com,,,,"Services:
- Food pantry
Food Pantry Opening Hours:
- Every Thursday
- 9:00 a.m. - 11:00 a.m.
For further information, please call.",Food bank,ChIJAwKEKafz2YkRPz15t-wOug8,FF,,,,,,,,
Evangel Food Pantry,"8180 Greiner Rd, Buffalo, NY 14221, USA",42.989676,-78.6898051,(716) 221-0218,http://themorlockfoundation.org/,fpclientcare@morlockfoundation.org,,,,"Hours of Operation:
- 1st, 3rd, and 5th Tuesday of the month: 8:30 am to 12:30 pm (by appointment only)
- If they have new dishes, please come between 8:30 am and 10:30 am
- 2nd and 4th Tuesday of the month: 6:30 am to 1:00 pm (by appointment only)
- If they are new, please come between 8:00 am and 10:00 am
For more information, please call them.",Food bank,Eic4MTgwIEdyZWluZXIgUmQsIEJ1ZmZhbG8sIE5ZIDE0MjIxLCBVU0EiMRIvChQKEgkrWqQ8xXXTiRFekdXV5H2Z2RD0PyoUChIJp7Hx5A6e04kRvTNwakIFK3g,FF,,,,,,,,
South Hempstead Baptist Church,"81 Maple Ave, Hempstead, NY 11550, USA",40.6994571,-73.627492,(516) 481-7090,,southhempsteadbaptistchurch@gmail.com,,,,"Phone: (516) 481-7090
Email: southhempsteadbaptistchurch@gmail.com
Services: Food pantry
Hours of operation: Thursdays from 10:00 AM to 2:00 PM
For more information, please call.",Food bank,ChIJweGS1-B8wokRgSaif7YDDoA,FF,,,,,,,,
Trehab Montrose Food Bank,"81 Industrial Dr, Montrose, PA 18801, USA",41.8132599,-75.8832154,(570) 278-5269,https://www.facebook.com/trehabmain/,info@trehab.org,,,,"Food Distribution Hours:
Monday to Friday: 9:00 AM - 5:00 PM (by appointment)
Hours of Operation:
Monday: 9:00 AM - 5:00 PM
Tuesday: 9:00 AM - 5:00 PM
Wednesday: 9:00 AM - 5:00 PM
Thursday: 9:00 AM - 5:00 PM
Friday: 9:00 AM - 5:00 PM
Saturday: Closed
Sunday: Closed",Food bank,ChIJDYKX8D3Q2okRVjlbk7_dAAE,FF,,,,,,,,
Cambridge Loaves and Fishes Food Pantry,"81 E Main St, Cambridge, NY 12816, USA",43.0285666,-73.3765339,(518) 677-3863,https://www.cambridgenyupc.org/,cambridgeunitedcommunitycenter@gmail.com,,,,"Pantry Hours of Operation:
- Wednesday: 1:00 pm - 3:00 pm
- Friday lunch: 12:00 pm
- Saturday: 11:00 am - 1:00 pm
Programs Offered:
- School backpack program
- Birthday program
Accessibility:
- Fully accessible
Location:
- Cambridge Central School District
Directors:
- Jim and Vicky Bartholomew
For more information, please call them.",Food bank,ChIJS2LsgFSD4IkRe0lvTEwA7Fs,FF,,,,,,,,
Assumption Church Food Pantry,"808 N Salina St, Syracuse, NY 13208, USA",43.062312,-76.153871,(315) 473-9101,https://www.facebook.com/AssumptionSyr,,,,,"Services Offered:
Free Bag Lunch:
Anyone who comes can receive a free bag lunch.
Hours of Operation:
Monday to Friday: 11:30 AM - 4:45 PM
Closed from 1:00 PM to 4:00 PM
Monthly Food Distribution:
Households in the assigned area can receive food once a month.
Hours of Operation:
Monday to Friday (except Tuesday): 8:45 AM - 11:00 AM
Tuesday: 8:45 AM - 10:00 AM",Food bank,ChIJnQ9otkry2YkR9IFGp8T6_yM,FF,,,,,,,,
Assumption Church Food Pantry And Sandwich Program,"804 N Salina St, Syracuse, NY 13208, USA",43.062087,-76.1539067,(315) 423-9961,http://assumptionchurchsyracuse.org/index.php?page=food-pantry,,,,,"Food Pantry Services for the City of Syracuse
Operating Hours: Monday - Friday from 9:30 am to 1:00 pm and 4:00 pm to 6:00 pm.",Food bank,ChIJdWMWtUry2YkRl7Q9usTJuSQ,FF,,,,,,,,
